Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Reference
"3s2.3p5.(2P*<3/2>).9f","2[7/2]","3",7,,"15,591527",,,,
"3s2.3p5.(2P*<3/2>).9f","2[7/2]","4",9,,"15,591527",,,,
"3s2.3p5.(2P*<1/2>).8p","2[1/2]","1",3,,"15,594400",,,,
"3s2.3p5.(2P*<1/2>).8p","2[1/2]","0",1,,"15,601121",,,,
"3s2.3p5.(2P*<1/2>).8p","2[3/2]","1",3,,"15,595192",,,,
"3s2.3p5.(2P*<1/2>).8p","2[3/2]","2",5,,"15,596214",,,,
"3s2.3p5.(2P*<3/2>).11p","2[1/2]","1",3,,"15,60270",,,,
"3s2.3p5.(2P*<3/2>).11p","2[1/2]","0",1,,"15,60822",,,,
"3s2.3p5.(2P*<3/2>).11p","2[5/2]","2",5,,"15,60298",,,,
"3s2.3p5.(2P*<3/2>).11p","2[3/2]","1",3,,"15,60382",,,,
"3s2.3p5.(2P*<3/2>).11p","2[3/2]","2",5,,"15,603879",,,,
"3s2.3p5.(2P*<3/2>).10d","2[1/2]*","0",1,,"15,609082",,,,
"3s2.3p5.(2P*<3/2>).10d","2[1/2]*","1",3,,"15,609435",,,,
"3s2.3p5.(2P*<3/2>).10d","2[3/2]*","2",5,,"15,610410",,,,
"3s2.3p5.(2P*<3/2>).10d","2[3/2]*","1",3,,"15,61945",,,,
"3s2.3p5.(2P*<3/2>).10d","2[7/2]*","4",9,,"15,612397",,,,
"3s2.3p5.(2P*<3/2>).10d","2[7/2]*","3",7,,"15,613644",,,,
"3s2.3p5.(2P*<3/2>).10d","2[5/2]*","2",5,,"15,615273",,,,
"3s2.3p5.(2P*<3/2>).10d","2[5/2]*","3",7,,"15,616707",,,,
"3s2.3p5.(2P*<3/2>).12s","2[3/2]*","2",5,,"15,619450",,,,
"3s2.3p5.(2P*<3/2>).12s","2[3/2]*","1",3,,"15,620065",,,,
"3s2.3p5.(2P*<3/2>).10f","2[3/2]","1",3,,"15,62305",,,,
"3s2.3p5.(2P*<3/2>).10f","2[3/2]","2",5,,"15,62305",,,,
"3s2.3p5.(2P*<3/2>).10f","2[5/2]","2",5,,"15,62329",,,,
"3s2.3p5.(2P*<3/2>).10f","2[5/2]","3",7,,"15,62329",,,,
"3s2.3p5.(2P*<1/2>).7d","2[3/2]*","2",5,,"15,628593",,,,
"3s2.3p5.(2P*<1/2>).7d","2[3/2]*","1",3,,"15,64208",,,,
"3s2.3p5.(2P*<1/2>).7d","2[5/2]*","2",5,,"15,629999",,,,
"3s2.3p5.(2P*<1/2>).7d","2[5/2]*","3",7,,"15,633111",,,,
"3s2.3p5.(2P*<3/2>).12p","2[1/2]","1",3,,"15,631010",,,,
"3s2.3p5.(2P*<3/2>).12p","2[1/2]","0",1,,"15,634608",,,,
"3s2.3p5.(2P*<3/2>).12p","2[5/2]","2",5,,"15,63185",,,,
"3s2.3p5.(2P*<3/2>).12p","2[3/2]","2",5,,"15,63256",,,,
"3s2.3p5.(2P*<3/2>).11d","2[1/2]*","1",3,,"15,634328",,,,
"3s2.3p5.(2P*<3/2>).11d","2[1/2]*","0",1,,"15,636218",,,,
"3s2.3p5.(2P*<3/2>).11d","2[7/2]*","4",9,,"15,638792",,,,
"3s2.3p5.(2P*<3/2>).11d","2[7/2]*","3",7,,"15,641168",,,,
"3s2.3p5.(2P*<3/2>).11d","2[3/2]*","2",5,,"15,641868",,,,
"3s2.3p5.(2P*<3/2>).11d","2[3/2]*","1",3,,"15,64731",,,,
"3s2.3p5.(2P*<3/2>).11d","2[5/2]*","2",5,,"15,642147",,,,
"3s2.3p5.(2P*<3/2>).11d","2[5/2]*","3",7,,"15,642246",,,,
"3s2.3p5.(2P*<3/2>).13s","2[3/2]*","2",5,,"15,644102",,,,
"3s2.3p5.(2P*<3/2>).13s","2[3/2]*","1",3,,"15,64447",,,,
"3s2.3p5.(2P*<1/2>).9s","2[1/2]*","0",1,,"15,647151",,,,
"3s2.3p5.(2P*<1/2>).9s","2[1/2]*","1",3,,"15,648234",,,,
"3s2.3p5.(2P*<3/2>).11f","2[3/2]","1",3,"[","15,64823","]",,,
"3s2.3p5.(2P*<3/2>).11f","2[3/2]","2",5,"[","15,64823","]",,,
"3s2.3p5.(2P*<3/2>).11f","2[5/2]","2",5,"[","15,64823","]",,,
"3s2.3p5.(2P*<3/2>).11f","2[5/2]","3",7,"[","15,64823","]",,,
"3s2.3p5.(2P*<3/2>).13p","2[5/2]","2",5,,"15,65341",,,,
"3s2.3p5.(2P*<3/2>).13p","2[3/2]","2",5,,"15,65392",,,,
"3s2.3p5.(2P*<3/2>).13p","2[1/2]","0",1,,"15,65550",,,,
"3s2.3p5.(2P*<3/2>).12d","2[1/2]*","0",1,,"15,656894",,,,
"3s2.3p5.(2P*<3/2>).12d","2[1/2]*","1",3,,"15,658293",,,,
"3s2.3p5.(2P*<1/2>).7f","2[7/2]","3",7,,"15,658563",,,,
"3s2.3p5.(2P*<1/2>).7f","2[7/2]","4",9,,"15,658565",,,,
"3s2.3p5.(2P*<1/2>).7f","2[5/2]","3",7,,"15,658581",,,,
"3s2.3p5.(2P*<1/2>).7f","2[5/2]","2",5,,"15,6586",,,,
"3s2.3p5.(2P*<3/2>).12d","2[7/2]*","4",9,,"15,658675",,,,
"3s2.3p5.(2P*<3/2>).12d","2[7/2]*","3",7,,"15,659853",,,,
"3s2.3p5.(2P*<1/2>).7h","2[11/2]","5",11,,"15,659364",,,,
"3s2.3p5.(2P*<1/2>).7h","2[11/2]","6",13,,"15,659364",,,,
"3s2.3p5.(2P*<1/2>).7h","2[9/2]","4",9,,"15,659394",,,,
"3s2.3p5.(2P*<1/2>).7h","2[9/2]","5",11,,"15,659394",,,,
"3s2.3p5.(2P*<3/2>).12d","2[3/2]*","2",5,,"15,659522",,,,
"3s2.3p5.(2P*<3/2>).12d","2[3/2]*","1",3,,"15,66344",,,,
"3s2.3p5.(2P*<3/2>).12d","2[5/2]*","2",5,,"15,660823",,,,
"3s2.3p5.(2P*<3/2>).12d","2[5/2]*","3",7,,"15,661188",,,,
"3s2.3p5.(2P*<3/2>).14s","2[3/2]*","2",5,,"15,662768",,,,
"3s2.3p5.(2P*<3/2>).14s","2[3/2]*","1",3,,"15,66317",,,,
"3s2.3p5.(2P*<3/2>).12f","2[3/2]","1",3,,"15,66482",,,,
"3s2.3p5.(2P*<3/2>).12f","2[3/2]","2",5,,"15,66482",,,,
"3s2.3p5.(2P*<3/2>).12f","2[5/2]","2",5,,"15,66490",,,,
"3s2.3p5.(2P*<3/2>).12f","2[5/2]","3",7,,"15,66490",,,,
"3s2.3p5.(2P*<3/2>).14p","2[5/2]","2",5,,"15,66995",,,,
"3s2.3p5.(2P*<3/2>).14p","2[3/2]","2",5,,"15,67036",,,,
"3s2.3p5.(2P*<3/2>).13d","2[1/2]*","1",3,,"15,673207",,,,
"3s2.3p5.(2P*<3/2>).13d","2[7/2]*","4",9,,"15,674054",,,,
"3s2.3p5.(2P*<3/2>).13d","2[7/2]*","3",7,,"15,674828",,,,
"3s2.3p5.(2P*<3/2>).13d","2[3/2]*","2",5,,"15,674169",,,,
"3s2.3p5.(2P*<3/2>).13d","2[3/2]*","1",3,,"15,67754",,,,
"3s2.3p5.(2P*<3/2>).13d","2[5/2]*","2",5,,"15,675583",,,,
"3s2.3p5.(2P*<3/2>).13d","2[5/2]*","3",7,,"15,675992",,,,
"3s2.3p5.(2P*<3/2>).15s","2[3/2]*","1",3,,"15,67754",,,,
"3s2.3p5.(2P*<3/2>).13f","2[3/2]","1",3,,"15,67889",,,,
"3s2.3p5.(2P*<3/2>).13f","2[3/2]","2",5,,"15,67889",,,,
"3s2.3p5.(2P*<3/2>).13f","2[5/2]","2",5,,"15,67895",,,,
"3s2.3p5.(2P*<3/2>).13f","2[5/2]","3",7,,"15,67895",,,,
"3s2.3p5.(2P*<3/2>).15p","2[5/2]","2",5,,"15,68311",,,,
"3s2.3p5.(2P*<3/2>).15p","2[3/2]","2",5,,"15,68358",,,,
"3s2.3p5.(2P*<3/2>).14d","2[1/2]*","0",1,,"15,684998",,,,
"3s2.3p5.(2P*<3/2>).14d","2[1/2]*","1",3,,"15,685198",,,,
"3s2.3p5.(2P*<3/2>).14d","2[3/2]*","2",5,,"15,685820",,,,
"3s2.3p5.(2P*<3/2>).14d","2[3/2]*","1",3,,"15,68884",,,,
"3s2.3p5.(2P*<3/2>).14d","2[7/2]*","4",9,,"15,686152",,,,
"3s2.3p5.(2P*<3/2>).14d","2[7/2]*","3",7,,"15,686933",,,,
"3s2.3p5.(2P*<1/2>).9p","2[1/2]","0",1,,"15,687000",,,,
"3s2.3p5.(2P*<3/2>).14d","2[5/2]*","3",7,,"15,68773",,,,
"3s2.3p5.(2P*<3/2>).16s","2[3/2]*","1",3,,"15,68891",,,,
"3s2.3p5.(2P*<3/2>).14f","2[3/2]","2",5,,"15,69003",,,,
"3s2.3p5.(2P*<3/2>).14f","2[5/2]","2",5,,"15,69008",,,,
"3s2.3p5.(2P*<3/2>).16p","2[5/2]","2",5,,"15,69329",,,,
"3s2.3p5.(2P*<3/2>).15d","2[1/2]*","1",3,,"15,69495",,,,
"3s2.3p5.(2P*<3/2>).15d","2[3/2]*","1",3,,"15,69792",,,,
"3s2.3p5.(2P*<3/2>).17s","2[3/2]*","1",3,,"15,69812",,,,
"3s2.3p5.(2P*<3/2>).15f","2[3/2]","2",5,,"15,69905",,,,
"3s2.3p5.(2P*<3/2>).15f","2[5/2]","2",5,,"15,69905",,,,
"3s2.3p5.(2P*<3/2>).17p","2[5/2]","2",5,,"15,70166",,,,
"3s2.3p5.(2P*<3/2>).16d","2[1/2]*","1",3,,"15,70278",,,,
"3s2.3p5.(2P*<3/2>).16d","2[3/2]*","1",3,,"15,70533",,,,
"3s2.3p5.(2P*<3/2>).18s","2[3/2]*","1",3,,"15,70562",,,,
"3s2.3p5.(2P*<3/2>).16f","2[3/2]","2",5,,"15,70638",,,,
"3s2.3p5.(2P*<3/2>).16f","2[5/2]","2",5,,"15,70638",,,,
"3s2.3p5.(2P*<3/2>).17d","2[1/2]*","1",3,,"15,70897",,,,
"3s2.3p5.(2P*<3/2>).17d","2[3/2]*","1",3,,"15,71130",,,,
"3s2.3p5.(2P*<3/2>).19s","2[3/2]*","1",3,,"15,71184",,,,
"3s2.3p5.(2P*<3/2>).17f","2[3/2]","2",5,,"15,71255",,,,
"3s2.3p5.(2P*<3/2>).17f","2[5/2]","2",5,,"15,71255",,,,
"3s2.3p5.(2P*<1/2>).8d","2[3/2]*","1",3,,"15,71347",,,,
"3s2.3p5.(2P*<1/2>).10s","2[1/2]*","1",3,,"15,71605",,,,
"3s2.3p5.(2P*<3/2>).18d","2[1/2]*","1",3,,"15,71682",,,,
"3s2.3p5.(2P*<3/2>).20s","2[3/2]*","1",3,,"15,71727",,,,
"3s2.3p5.(2P*<3/2>).18d","2[3/2]*","1",3,,"15,71754",,,,
"3s2.3p5.(2P*<3/2>).19d","2[1/2]*","1",3,,"15,72035",,,,
"3s2.3p5.(2P*<3/2>).21s","2[3/2]*","1",3,,"15,72148",,,,
"3s2.3p5.(2P*<3/2>).19d","2[3/2]*","1",3,,"15,72159",,,,
"3s2.3p5.(2P*<3/2>).20d","2[1/2]*","1",3,,"15,72415",,,,
"3s2.3p5.(2P*<3/2>).22s","2[3/2]*","1",3,,"15,72526",,,,
"3s2.3p5.(2P*<3/2>).20d","2[3/2]*","1",3,,"15,72526",,,,
"3s2.3p5.(2P*<3/2>).21d","2[1/2]*","1",3,,"15,72747",,,,
"3s2.3p5.(2P*<3/2>).21d","2[3/2]*","1",3,,"15,72845",,,,
"3s2.3p5.(2P*<3/2>).22d","2[1/2]*","1",3,,"15,73035",,,,
"3s2.3p5.(2P*<3/2>).22d","2[3/2]*","1",3,,"15,73121",,,,
"3s2.3p5.(2P*<3/2>).23d","2[1/2]*","1",3,,"15,73285",,,,
"3s2.3p5.(2P*<3/2>).23d","2[3/2]*","1",3,,"15,73364",,,,
"3s2.3p5.(2P*<3/2>).24d","2[1/2]*","1",3,,"15,73507",,,,
"3s2.3p5.(2P*<3/2>).24d","2[3/2]*","1",3,,"15,73576",,,,
"3s2.3p5.(2P*<3/2>).25d","2[1/2]*","1",3,,"15,73703",,,,
"3s2.3p5.(2P*<3/2>).25d","2[3/2]*","1",3,,"15,73765",,,,
"3s2.3p5.(2P*<3/2>).26d","2[1/2]*","1",3,,"15,73876",,,,
"3s2.3p5.(2P*<3/2>).26d","2[3/2]*","1",3,,"15,73931",,,,
"3s2.3p5.(2P*<3/2>).27d","2[1/2]*","1",3,,"15,74028",,,,
"3s2.3p5.(2P*<3/2>).27d","2[3/2]*","1",3,,"15,74080",,,,
"3s2.3p5.(2P*<3/2>).28d","2[1/2]*","1",3,,"15,74165",,,,
"3s2.3p5.(2P*<3/2>).28d","2[3/2]*","1",3,,"15,74212",,,,
"3s2.3p5.(2P*<3/2>).29d","2[1/2]*","1",3,,"15,74289",,,,
"3s2.3p5.(2P*<3/2>).29d","2[3/2]*","1",3,,"15,74333",,,,
"3s2.3p5.(2P*<3/2>).30d","2[1/2]*","1",3,,"15,74401",,,,
"3s2.3p5.(2P*<3/2>).30d","2[3/2]*","1",3,,"15,74438",,,,
"3s2.3p5.(2P*<3/2>).31d","2[1/2]*","1",3,,"15,74503",,,,
"3s2.3p5.(2P*<3/2>).31d","2[3/2]*","1",3,,"15,74535",,,,
"3s2.3p5.(2P*<3/2>).32d","2[1/2]*","1",3,,"15,74596",,,,
"3s2.3p5.(2P*<3/2>).32d","2[3/2]*","1",3,,"15,74624",,,,
"3s2.3p5.(2P*<3/2>).33d","2[1/2]*","1",3,,"15,74680",,,,
"3s2.3p5.(2P*<3/2>).33d","2[3/2]*","1",3,,"15,74703",,,,
"3s2.3p5.(2P*<3/2>).34d","2[1/2]*","1",3,,"15,74757",,,,
"3s2.3p5.(2P*<3/2>).34d","2[3/2]*","1",3,,"15,74778",,,,
"3s2.3p5.(2P*<3/2>).35d","2[3/2]*","1",3,,"15,74844",,,,
"3s2.3p5.(2P*<3/2>).36d","2[3/2]*","1",3,,"15,74906",,,,
"3s2.3p5.(2P*<3/2>).37d","2[3/2]*","1",3,,"15,74963",,,,
"3s2.3p5.(2P*<3/2>).38d","2[3/2]*","1",3,,"15,75015",,,,
"3s2.3p5.(2P*<3/2>).39d","2[3/2]*","1",3,,"15,75062",,,,
"3s2.3p5.(2P*<3/2>).40d","2[3/2]*","1",3,,"15,75108",,,,
"3s2.3p5.(2P*<3/2>).41d","2[3/2]*","1",3,,"15,75147",,,,
"3s2.3p5.(2P*<3/2>).42d","2[3/2]*","1",3,,"15,75191",,,,
"3s2.3p5.(2P*<3/2>).43d","2[3/2]*","1",3,,"15,75223",,,,
"3s2.3p5.(2P*<3/2>).44d","2[3/2]*","1",3,,"15,75254",,,,
"3s2.3p5.(2P*<3/2>).45d","2[3/2]*","1",3,,"15,75287",,,,
"3s2.3p5.(2P*<3/2>).46d","2[3/2]*","1",3,,"15,75315",,,,
"3s2.3p5.(2P*<3/2>).47d","2[3/2]*","1",3,,"15,75342",,,,
"3s2.3p5.(2P*<3/2>).48d","2[3/2]*","1",3,,"15,75368",,,,
"3s2.3p5.(2P*<3/2>).49d","2[3/2]*","1",3,,"15,75392",,,,
"3s2.3p5.(2P*<3/2>).50d","2[3/2]*","1",3,,"15,75414",,,,
"3s2.3p5.(2P*<3/2>).51d","2[3/2]*","1",3,,"15,75435",,,,
"3s2.3p5.(2P*<3/2>).52d","2[3/2]*","1",3,,"15,75457",,,,
"3s2.3p5.(2P*<3/2>).53d","2[3/2]*","1",3,,"15,75475",,,,
"3s2.3p5.(2P*<3/2>).54d","2[3/2]*","1",3,,"15,75492",,,,
"3s2.3p5.(2P*<3/2>).55d","2[3/2]*","1",3,,"15,75509",,,,
"3s2.3p5.(2P*<3/2>).56d","2[3/2]*","1",3,,"15,75528",,,,
"3s2.3p5.(2P*<3/2>).57d","2[3/2]*","1",3,,"15,75544",,,,
"3s2.3p5.(2P*<3/2>).58d","2[3/2]*","1",3,,"15,75558",,,,
"Ar II (3p5 2P*<3/2>)","Limit","---",,,"15,7596119",,"0,0000005",,"L9217"
"3s2.3p5.(2P*<1/2>).9d","2[3/2]*","1",3,,"15,7622",,,,
"3s2.3p5.(2P*<1/2>).11s","2[1/2]*","1",3,,"15,76392",,,,
"3s2.3p5.(2P*<1/2>).10d","2[3/2]*","1",3,,"15,7961",,,,
"3s2.3p5.(2P*<1/2>).12s","2[1/2]*","1",3,,"15,79729",,,,
"3s2.3p5.(2P*<1/2>).11d","2[3/2]*","1",3,,"15,8210",,,,
"3s2.3p5.(2P*<1/2>).13s","2[1/2]*","1",3,,"15,82185",,,,
"3s2.3p5.(2P*<1/2>).12d","2[3/2]*","1",3,,"15,8397",,,,
"3s2.3p5.(2P*<1/2>).14s","2[1/2]*","1",3,,"15,84047",,,,
"3s2.3p5.(2P*<1/2>).13d","2[3/2]*","1",3,,"15,8544",,,,
"3s2.3p5.(2P*<1/2>).15s","2[1/2]*","1",3,,"15,85491",,,,
"3s2.3p5.(2P*<1/2>).14d","2[3/2]*","1",3,,"15,8659",,,,
"3s2.3p5.(2P*<1/2>).16s","2[1/2]*","1",3,,"15,86638",,,,
"3s2.3p5.(2P*<1/2>).15d","2[3/2]*","1",3,,"15,8752",,,,
"3s2.3p5.(2P*<1/2>).17s","2[1/2]*","1",3,,"15,87556",,,,
"3s2.3p5.(2P*<1/2>).16d","2[3/2]*","1",3,,"15,8827",,,,
"3s2.3p5.(2P*<1/2>).18s","2[1/2]*","1",3,,"15,88307",,,,
"3s2.3p5.(2P*<1/2>).17d","2[3/2]*","1",3,,"15,8891",,,,
"3s2.3p5.(2P*<1/2>).19s","2[1/2]*","1",3,,"15,88929",,,,
"3s2.3p5.(2P*<1/2>).18d","2[3/2]*","1",3,,"15,8943",,,,
"3s2.3p5.(2P*<1/2>).20s","2[1/2]*","1",3,,"15,89451",,,,
"3s2.3p5.(2P*<1/2>).19d","2[3/2]*","1",3,,"15,8987",,,,
"3s2.3p5.(2P*<1/2>).21s","2[1/2]*","1",3,,"15,89892",,,,
"3s2.3p5.(2P*<1/2>).20d","2[3/2]*","1",3,,"15,9025",,,,
"3s2.3p5.(2P*<1/2>).22s","2[1/2]*","1",3,,"15,90265",,,,
"3s2.3p5.(2P*<1/2>).21d","2[3/2]*","1",3,,"15,9058",,,,
"3s2.3p5.(2P*<1/2>).23s","2[1/2]*","1",3,,"15,90588",,,,
"3s2.3p5.(2P*<1/2>).24s","2[1/2]*","1",3,,"15,90867",,,,
"3s2.3p5.(2P*<1/2>).25s","2[1/2]*","1",3,,"15,91112",,,,
"3s2.3p5.(2P*<1/2>).26s","2[1/2]*","1",3,,"15,91325",,,,
"3s2.3p5.(2P*<1/2>).27s","2[1/2]*","1",3,,"15,91512",,,,
"3s2.3p5.(2P*<1/2>).28s","2[1/2]*","1",3,,"15,91679",,,,
"3s2.3p5.(2P*<1/2>).29s","2[1/2]*","1",3,,"15,91828",,,,
"3s2.3p5.(2P*<1/2>).30s","2[1/2]*","1",3,,"15,91962",,,,
"3s2.3p5.(2P*<1/2>).31s","2[1/2]*","1",3,,"15,92081",,,,
"3s2.3p5.(2P*<1/2>).32s","2[1/2]*","1",3,,"15,92189",,,,
"3s2.3p5.(2P*<1/2>).33s","2[1/2]*","1",3,,"15,92286",,,,
"3s2.3p5.(2P*<1/2>).34s","2[1/2]*","1",3,,"15,92375",,,,
"3s2.3p5.(2P*<1/2>).35s","2[1/2]*","1",3,,"15,92457",,,,
"3s2.3p5.(2P*<1/2>).36s","2[1/2]*","1",3,,"15,92529",,,,
"3s2.3p5.(2P*<1/2>).37s","2[1/2]*","1",3,,"15,92596",,,,
"3s2.3p5.(2P*<1/2>).38s","2[1/2]*","1",3,,"15,92658",,,,
"3s2.3p5.(2P*<1/2>).39s","2[1/2]*","1",3,,"15,92713",,,,
"3s2.3p5.(2P*<1/2>).40s","2[1/2]*","1",3,,"15,92768",,,,
"3s2.3p5.(2P*<1/2>).41s","2[1/2]*","1",3,,"15,92816",,,,
"3s2.3p5.(2P*<1/2>).42s","2[1/2]*","1",3,,"15,92858",,,,
"3s2.3p5.(2P*<1/2>).43s","2[1/2]*","1",3,,"15,92902",,,,
"3s2.3p5.(2P*<1/2>).44s","2[1/2]*","1",3,,"15,92942",,,,
"3s2.3p5.(2P*<1/2>).45s","2[1/2]*","1",3,,"15,92974",,,,
"3s2.3p5.(2P*<1/2>).46s","2[1/2]*","1",3,,"15,93008",,,,
"3s2.3p5.(2P*<1/2>).47s","2[1/2]*","1",3,,"15,93042",,,,
"3s2.3p5.(2P*<1/2>).48s","2[1/2]*","1",3,,"15,93068",,,,
"3s2.3p5.(2P*<1/2>).49s","2[1/2]*","1",3,,"15,93095",,,,
"3s2.3p5.(2P*<1/2>).50s","2[1/2]*","1",3,,"15,93121",,,,
"3s2.3p5.(2P*<1/2>).51s","2[1/2]*","1",3,,"15,93141",,,,
"3s2.3p5.(2P*<1/2>).52s","2[1/2]*","1",3,,"15,93168",,,,
"3s.3p6.4p","1P*","1",3,,"26,615761",,,,
"3s.3p6.5p","1P*","1",3,,"27,996757",,,,
"3s.3p6.6p","1P*","1",3,,"28,510223",,,,
"3s.3p6.7p","1P*","1",3,,"28,759429",,,,
"3s.3p6.8p","1P*","1",3,,"28,899735",,,,
"3s.3p6.9p","1P*","1",3,,"28,986014",,,,
"3s.3p6.10p","1P*","1",3,,"29,043525",,,,
"3s.3p6.11p","1P*","1",3,,"29,083040",,,,
"3s.3p6.12p","1P*","1",3,,"29,111858",,,,
"3s.3p6.13p","1P*","1",3,,"29,133199",,,,
"3s.3p6.14p","1P*","1",3,,"29,150118",,,,
"3s.3p6.15p","1P*","1",3,,"29,162940",,,,
"3s.3p6.16p","1P*","1",3,,"29,173233",,,,
"3s.3p6.17p","1P*","1",3,,"29,181678",,,,
"3s.3p6.18p","1P*","1",3,,"29,188618",,,,
"3s.3p6.19p","1P*","1",3,,"29,194253",,,,
"3s.3p6.20p","1P*","1",3,,"29,198998",,,,
"3s.3p6.21p","1P*","1",3,,"29,203124",,,,
"3s.3p6.22p","1P*","1",3,,"29,206563",,,,
"3s.3p6.23p","1P*","1",3,,"29,209591",,,,
"3s.3p6.24p","1P*","1",3,,"29,212206",,,,
"3s.3p6.25p","1P*","1",3,,"29,214547",,,,
